('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         773660 function calls (749659 primitive calls) in 1.442 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
      190    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
      385    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
        1    0.000    0.000    0.001    0.001 connection.py:369(request)
        1    0.000    0.000    0.009    0.009 css_match.py:1(<module>)
        2    0.000    0.000    0.006    0.003 models.py:1(<module>)
       94    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      292    0.000    0.000    0.000    0.000 enum.py:801(value)
       25    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
       57    0.000    0.000    0.001    0.000 abc.py:105(__new__)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:991(update)
       10    0.000    0.000    0.004    0.000 enum.py:536(_convert_)
      508    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
       24    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
    83/61    0.000    0.000    0.003    0.000 typing.py:401(__getitem__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
        1    0.000    0.000    0.768    0.768 connection.py:485(getresponse)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       63    0.000    0.000    0.001    0.000 typing.py:664(__init__)
        1    0.000    0.000    0.014    0.014 connectionpool.py:1(<module>)
        1    0.000    0.000    0.042    0.042 adapters.py:1(<module>)
        1    0.000    0.000    0.033    0.033 ssl.py:1014(_create)
       23    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       13    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
      343    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
